route, counts
('3030', '3030'), '100'
('3034', '3005'), '103'
('3005', '3034'), '103'
('3034', '3034'), '103'
('3031', '3031'), '105'
('3014', '3014'), '106'
('3049', '3049'), '108'
('3022', '3021'), '110'
('3064', '3034'), '110'
('3005', '3031'), '111'
('3005', '3005'), '116'
('3016', '3014'), '116'
('3040', '3040'), '116'
('3042', '3042'), '128'
('3031', '3005'), '134'
('3069', '3069'), '142'
('3022', '3022'), '146'
('3024', '3024'), '149'
('3030', '3042'), '165'
('3021', '3021'), '166'
('3014', '3016'), '167'
('3048', '3048'), '206'
('3014', '3030'), '224'
