"","Starting.Station.ID","Ending.Station.ID"
"1",3014,3014
"2",3014,3014
"3",3016,3016
"4",3016,3016
"5",3032,3032
"6",3021,3054
"7",3022,3014
"8",3076,3005
"9",3031,3031
"10",3031,3078
"11",3031,3047
"12",3063,3005
"13",3042,3030
"14",3018,3018
"15",3054,3030
"16",3031,3076
"17",3006,3033
"18",3018,3007
"19",3014,3016
"20",3037,3063
"21",3018,3068
"22",3063,3014
"23",3034,3019
"24",3063,3014
"25",3016,3033
"26",3005,3052
"27",3005,3021
"28",3018,3068
"29",3047,3030
"30",3037,3037
"31",3040,3006
"32",3040,3006
"33",3014,3014
"34",3066,3016
"35",3037,3042
"36",3016,3032
"37",3014,3014
"38",3033,3036
"39",3030,3030
"40",3033,3030
"41",3034,3053
"42",3031,3065
"43",3022,3035
"44",3030,3014
"45",3030,3016
"46",3022,3028
"47",3030,3014
"48",3037,3022
"49",3030,3018
"50",3006,3055
"51",3063,3033
"52",3066,3058
"53",3066,3058
"54",3063,3065
"55",3051,3051
"56",3030,3014
"57",3019,3019
"58",3030,3065
"59",3030,3065
"60",3006,3052
"61",3006,3052
"62",3033,3006
"63",3054,3014
"64",3014,3030
"65",3030,3016
"66",3055,3038
"67",3018,3038
"68",3006,3047
"69",3065,3031
"70",3068,3014
"71",3014,3065
"72",3018,3019
"73",3018,3019
"74",3047,3018
"75",3076,3018
"76",3007,3047
"77",3030,3042
"78",3006,3014
"79",3047,3063
"80",3018,3075
"81",3031,3055
"82",3052,3007
"83",3019,3063
"84",3065,3065
"85",3016,3014
"86",3076,3032
"87",3019,3063
"88",3065,3065
"89",3030,3067
"90",3014,3016
"91",3047,3018
"92",3049,3047
"93",3030,3042
"94",3014,3016
"95",3063,3005
"96",3005,3040
"97",3075,3005
"98",3068,3014
"99",3030,3005
"100",3005,3030
"101",3052,3049
"102",3034,3031
"103",3040,3042
"104",3040,3042
"105",3016,3016
"106",3032,3006
"107",3040,3005
"108",3016,3075
"109",3067,3065
"110",3066,3066
"111",3034,3016
"112",3066,3006
"113",3005,3016
"114",3014,3006
"115",3005,3062
"116",3020,3020
"117",3019,3062
"118",3014,3067
"119",3021,3006
"120",3063,3078
"121",3034,3051
"122",3042,3049
"123",3005,3042
"124",3042,3038
"125",3042,3030
"126",3066,3078
"127",3020,3020
"128",3016,3031
"129",3067,3042
"130",3030,3021
"131",3049,3033
"132",3021,3052
"133",3021,3052
"134",3016,3014
"135",3014,3014
"136",3032,3030
"137",3055,3006
"138",3049,3006
"139",3035,3018
"140",3042,3030
"141",3005,3049
"142",3067,3021
"143",3006,3022
"144",3067,3021
"145",3052,3035
"146",3052,3035
"147",3022,3058
"148",3052,3035
"149",3063,3018
"150",3051,3066
"151",3031,3054
"152",3018,3018
"153",3018,3018
"154",3030,3034
"155",3030,3034
"156",3021,3022
"157",3022,3021
"158",3062,3021
"159",3062,3021
"160",3035,3052
"161",3034,3006
"162",3049,3035
"163",3021,3034
"164",3014,3062
"165",3006,3034
"166",3035,3006
"167",3034,3021
"168",3034,3021
"169",3042,3042
"170",3030,3005
"171",3014,3006
"172",3055,3031
"173",3042,3037
"174",3066,3066
"175",3042,3037
"176",3058,3037
"177",3045,3080
"178",3051,3005
